type,reply_users,user,reactions,text,ts,date
message,U020GRBA51C,U01SXV000Q7,U020GRBA51C,"Good morning, everyone! Here’s a mini lesson on pronouns to start the day:

<https://niamhkelly2.typeform.com/to/H1LuHUBF|LINK>",2021-08-12 07:17:06.001199961,2021-08-12
message,no_replies,U01SXV000Q7,no_replies,Good morning! Here’s a slightly different mini lesson. Try it out! <https://niamhkelly2.typeform.com/to/xUa6PJfb|LINK>.,2021-08-13 08:03:12.000900030,2021-08-13
message,U01T2RB3BRC,U01SXV000Q7,no_replies,"Here is another mini lesson, now on relative clauses. If you have some ideas on what is good and what is not so good, it is appreciated. <https://niamhkelly2.typeform.com/to/oSxAdNfV|LINK>.",2021-08-16 11:24:51.001300097,2021-08-16
message,no_replies,U01SXV000Q7,no_replies,"Good morning! Here is a more advanced mini lesson on the passive voice, using the same structure. <https://niamhkelly2.typeform.com/to/HUkYmrIO|LINK>.",2021-08-17 08:21:05.003000021,2021-08-17
message,no_replies,U01SXV000Q7,no_replies,Good afternoon! Here is a vocab test where you have to recognize whether a word is a real or fake word. Try it out if you have a few minutes to spare. <https://niamhkelly2.typeform.com/to/KA1moIMz|LINK>.,2021-08-18 12:26:52.010999918,2021-08-18
message,no_replies,U01SXV000Q7,no_replies,Good afternoon today as well! Here is the reduced version of the multiple-choice vocab test. Try it out! <https://niamhkelly2.typeform.com/to/ECNXtbEi#name=xxxxx|LINK>.,2021-08-19 12:45:50.012599945,2021-08-19
message,no_replies,U01SXV000Q7,no_replies,Have a great weekend! :slightly_smiling_face:,2021-09-03 16:05:49.009599924,2021-09-03
message,no_replies,U01T2RB3BRC,U01T3DFVCB0,"Officially, <@U024QQGAX7B> is a full-time team member...so no more calls for <@U01T3DFVCB0> on hiking trails or at water parks....maybe!!! Welcome, Juan. Happy for you to join us and for our team to grow. :slightly_smiling_face:",2021-07-12 14:09:58.005899906,2021-07-12
message,no_replies,U01T2RB3BRC,U024QQGAX7B,"Morning, guys. I just shared a Google doc with a visual on how we would like the document analysis to look. It is basic at the moment and there would be things to add. From talking with potential customers, they might be interested as a first step only in the document analysis. So that is why I have added the option of having 2 pathways once a manager/owner logs in.
If they want to test people, they will need to upgrade. That is the thinking behind it for now anyway.

We will review at 2. See you then <!channel>",2021-07-14 09:12:39.002799988,2021-07-14
message,no_replies,U01T2RB3BRC,no_replies,Oh! :slightly_smiling_face: Back in <!channel>,2021-07-14 13:40:28.003900051,2021-07-14
message,U01T3DFVCB0,U01T2RB3BRC,no_replies,"<!channel> I've created an account <mailto:hello@tigim.co|hello@tigim.co> so we can receive an invitation to the assessment again. Add your personal email here for Roberto to use so we can see how it would look for others:
For me: <mailto:nkelly1224@gmail.com|nkelly1224@gmail.com>",2021-07-15 09:04:37.005800009,2021-07-15
message,U01T2RB3BRC,U01T2RB3BRC,no_replies,"<!channel> I knew I missed some things in Typeform. They have now been changed if you have noted them down:
In the grammar test:
• 'Multiple-choice'
• £
• 'He' capitalised on last sentence (gives a clue, so I removed it #cruel)",2021-07-15 10:01:06.008899927,2021-07-15
message,no_replies,U01T2RB3BRC,U01SXV000Q7,Don't forget we're meeting at 2 pm today (Portugal time) <!channel>,2021-07-21 08:41:21.000600100,2021-07-21
message,no_replies,U01T2RB3BRC,U024QQGAX7B,"<!channel> Hi all, we actually have to postpone the 2 pm meeting today until tomorrow if that's OK? Ignacio has to go to the doctor and I have to go to get vaccine and the time was moved forward. Sorry for short notice. We will skip the 10 am tomorrow and do 2 pm. with everyone",2021-07-28 11:38:17.001699924,2021-07-28
message,no_replies,U01T2RB3BRC,U01T3DFVCB0,"Oh well <!channel> think most things were mentioned. Will share those things with you <@U01T3DFVCB0> and any other questions, just let me know. Can think about achievable tasks for the next 2 weeks and send to Ignacio",2021-07-29 13:43:42.001600027,2021-07-29
message,U01SXV000Q7,U01T2RB3BRC,no_replies,"Here is a video that shows what <@U01SXV000Q7> was just mentioning. It was from our rivals Duolingo (down with Duolingo :rolling_on_the_floor_laughing:) It isa text analyser (which we can do), but it has a really nice feature <@U01T3DFVCB0> <@U024QQGAX7B> which colour codes the words based on their level in CEFR (this is the classification system for language from beginner to advanced) Duolingo have taken this down now, but it looks nice.
This video is really only interesting from 0.40 to 2.45 mins. You don't need to listen to him too much.
<https://www.youtube.com/watch?v=HlVG8cbli7s>",2021-07-29 13:53:29.005100012,2021-07-29
message,no_replies,U01T2RB3BRC,no_replies,"<!channel> sorry, meeting at 2 pm. Forgot to remind everyone yesterday",2021-08-04 08:49:03.000900030,2021-08-04
message,U01T2RB3BRC,U01T2RB3BRC,U01SXV000Q7,"Oops :slightly_smiling_face: I was just going to say if you put together 'things still to be done' on assessments, we can see if they are necessary for now or wait for the redesign/restructure <@U01T3DFVCB0>",2021-08-11 13:42:58.001199961,2021-08-11
message,no_replies,U01T2RB3BRC,U01T3DFVCB0,Looks like there's a party in Buenos Aires,2021-08-11 15:11:38.007900,2021-08-11
message,no_replies,U01T2RB3BRC,no_replies,"Yes, they use many of the same metrics as us",2021-08-12 16:08:45.005399942,2021-08-12
message,no_replies,U01T2RB3BRC,U01T3DFVCB0,<@U020GRBA51C> <@U01T3DFVCB0> if you could try this out before the pop-in. Just to say the questions are basic because it was done quickly. Looking more at structure here,2021-08-13 08:21:01.002099991,2021-08-13
message,no_replies,U01T2RB3BRC,no_replies,"Great! Yes, will send over suggestions",2021-08-17 10:08:48.005599976,2021-08-17
message,U01SXV000Q7,U01T2RB3BRC,U01T3DFVCB0,"Guys, feedback on new branding...? <!channel>",2021-08-17 14:25:04.006599903,2021-08-17
